case_id,copied_pyc,status,reason,artifact,package,version,artifact_type,pyc_path,python_tag,magic_number,source_present,overall_level,overall_label,tools,statuses,reason_categories,reasons
2dfb85613aee,causal-test-again-0.1.67-cpython-38-2dfb85613aee.pyc,copied,,causal_test_again-0.1.67.tar.gz,causal-test-again,0.1.67,tar,causal_test_again-0.1.67/causal_test_again/tests/unit/utils/__pycache__/test_delta_method.cpython-38-pytest-6.0.1.pyc,cpython-38,8738,True,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,"marshal:error:marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:not_code,offset8:ValueError:bad marshal data (unknown type code) || decompyle3:exit_2:Unknown magic number 8738 in /tmp/pybcsec-rq2-oyx8dxlj/sample.pyc"
7a85fb4d4424,causal-test-again-0.1.67-cpython-38-7a85fb4d4424.pyc,copied,,causal_test_again-0.1.67.tar.gz,causal-test-again,0.1.67,tar,causal_test_again-0.1.67/causal_test_again/tests/unit/utils/__pycache__/test_diff_in_diff_utils.cpython-38-pytest-6.0.1.pyc,cpython-38,8738,True,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,"marshal:error:marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:not_code,offset8:ValueError:bad marshal data (unknown type code) || decompyle3:exit_2:Unknown magic number 8738 in /tmp/pybcsec-rq2-09__px5a/sample.pyc"
1c7ea01e73b1,causal-test-again-0.1.67-cpython-38-1c7ea01e73b1.pyc,copied,,causal_test_again-0.1.67.tar.gz,causal-test-again,0.1.67,tar,causal_test_again-0.1.67/causal_test_again/tests/unit/utils/__pycache__/test_moments_data_process.cpython-38-pytest-6.0.1.pyc,cpython-38,8738,False,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,"marshal:error:marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:not_code,offset8:ValueError:bad marshal data (unknown type code) || decompyle3:exit_2:Unknown magic number 8738 in /tmp/pybcsec-rq2-phaaajqd/sample.pyc"
ebf3ef57d861,causal-test-again-0.1.67-cpython-38-ebf3ef57d861.pyc,copied,,causal_test_again-0.1.67.tar.gz,causal-test-again,0.1.67,tar,causal_test_again-0.1.67/causal_test_again/tests/unit/utils/__pycache__/test_moments_delta_method.cpython-38-pytest-6.0.1.pyc,cpython-38,8738,False,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,"marshal:error:marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:not_code,offset8:ValueError:bad marshal data (unknown type code) || decompyle3:exit_2:Unknown magic number 8738 in /tmp/pybcsec-rq2-9vfg44qi/sample.pyc"
444c3e4ad1e7,causal-test-again-0.1.67-cpython-38-444c3e4ad1e7.pyc,copied,,causal_test_again-0.1.67.tar.gz,causal-test-again,0.1.67,tar,causal_test_again-0.1.67/causal_test_again/tests/unit/utils/__pycache__/test_simulation_utils.cpython-38-pytest-6.0.1.pyc,cpython-38,8738,False,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,"marshal:error:marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:not_code,offset8:ValueError:bad marshal data (unknown type code) || decompyle3:exit_2:Unknown magic number 8738 in /tmp/pybcsec-rq2-13z3i5h4/sample.pyc"
376b3046f824,causal-test-again-0.1.67-cpython-38-376b3046f824.pyc,copied,,causal_test_again-0.1.67.tar.gz,causal-test-again,0.1.67,tar,causal_test_again-0.1.67/causal_test_again/tests/unit/utils/__pycache__/test_srm_check.cpython-38-pytest-6.0.1.pyc,cpython-38,8738,False,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,"marshal:error:marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:not_code,offset8:ValueError:bad marshal data (unknown type code) || decompyle3:exit_2:Unknown magic number 8738 in /tmp/pybcsec-rq2-ahmz_dgw/sample.pyc"
9d1743fa7452,causal-test-again-0.1.67-cpython-38-9d1743fa7452.pyc,copied,,causal_test_again-0.1.67.tar.gz,causal-test-again,0.1.67,tar,causal_test_again-0.1.67/causal_test_again/tests/unit/utils/__pycache__/test_validation_utils.cpython-38-pytest-6.0.1.pyc,cpython-38,8738,True,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,"marshal:error:marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:not_code,offset8:ValueError:bad marshal data (unknown type code) || decompyle3:exit_2:Unknown magic number 8738 in /tmp/pybcsec-rq2-gjosd3p5/sample.pyc"
eed112f5250d,causal-test-again-0.1.67-cpython-38-eed112f5250d.pyc,copied,,causal_test_again-0.1.67.tar.gz,causal-test-again,0.1.67,tar,causal_test_again-0.1.67/causal_test_again/tests/unit/utils/experiment/__pycache__/test_bootstrap.cpython-38-pytest-6.0.1.pyc,cpython-38,8738,True,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,"marshal:error:marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:not_code,offset8:ValueError:bad marshal data (unknown type code) || decompyle3:exit_2:Unknown magic number 8738 in /tmp/pybcsec-rq2-odnv905a/sample.pyc"
0c82284a0b23,causal-test-again-0.1.67-cpython-38-0c82284a0b23.pyc,copied,,causal_test_again-0.1.67.tar.gz,causal-test-again,0.1.67,tar,causal_test_again-0.1.67/causal_test_again/tests/unit/utils/experiment/__pycache__/test_group_sequential.cpython-38-pytest-6.0.1.pyc,cpython-38,8738,True,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,"marshal:error:marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:not_code,offset8:ValueError:bad marshal data (unknown type code) || decompyle3:exit_2:Unknown magic number 8738 in /tmp/pybcsec-rq2-wsxzg2y_/sample.pyc"
698ecfe95e11,causal-test-again-0.1.67-cpython-38-698ecfe95e11.pyc,copied,,causal_test_again-0.1.67.tar.gz,causal-test-again,0.1.67,tar,causal_test_again-0.1.67/causal_test_again/tests/unit/utils/experiment/__pycache__/test_result_utils.cpython-38-pytest-6.0.1.pyc,cpython-38,8738,True,4,pylingual_decompilable,decompyle3;marshal,error;exit_2,marshal_parse_failure;tool_exit,"marshal:error:marshal_failed:offset16:ValueError:bad marshal data (unknown type code),offset12:not_code,offset8:ValueError:bad marshal data (unknown type code) || decompyle3:exit_2:Unknown magic number 8738 in /tmp/pybcsec-rq2-bg9hrmot/sample.pyc"
