sample_sets,roundtrip_primary,roundtrip_secondary,artifact,artifact_type,pyc_path,python_tag,magic_number,source_present,overall_level,overall_label,pylingual,pylingual_level,decompyle3,decompyle3_level
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/procgraph-z6/6.1.9/procgraph-z6-6.1.9.tar.gz,tar,procgraph-z6-6.1.9/src/procgraph_mplayer/conversions/__pycache__/metadata.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/microsip-api/3.4.10/microsip_api-3.4.10.tar.gz,tar,microsip_api-3.4.10/microsip_api/models_base/punto_de_venta/__pycache__/__init__.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/mxpi-mx/1.4.5/mxpi-mx-1.4.5.tar.gz,tar,mxpi-mx-1.4.5/Mx/led/__pycache__/segment_mapper.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/blendedux-lang/1.1.2/blendedUx_Lang-1.1.2.tar.gz,tar,blendedUx_Lang-1.1.2/blended/testapp/testapp/__pycache__/settings.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/procgraph-z6/6.1.9/procgraph-z6-6.1.9.tar.gz,tar,procgraph-z6-6.1.9/src/procgraph_statistics/__pycache__/covariance.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/multiqc-vlad/1.30.dev20250821143134/multiqc_vlad-1.30.dev20250821143134-py3-none-any.whl,wheel,multiqc/modules/clipandmerge/__pycache__/clipandmerge.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/nimba/0.0.14/nimba-0.0.14.tar.gz,tar,nimba-0.0.14/examples/env/lib/python3.8/site-packages/pkg_resources/_vendor/packaging/__pycache__/__about__.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/bestfit/0.3/bestFit-0.3.tar.gz,tar,bestFit-0.3/venv/lib/python3.8/site-packages/numpy/array_api/tests/__pycache__/test_sorting_functions.cpython-38.pyc,cpython-38,3413,False,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/transbrain/1.8.6/transbrain-1.8.6-py3-none-any.whl,wheel,transbrain/__pycache__/surf.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/qsiprep-container/0.19.1/qsiprep_container-0.19.1-py3-none-any.whl,wheel,python3.8/site-packages/pip/_vendor/rich/__pycache__/repr.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/bestfit/0.3/bestFit-0.3.tar.gz,tar,bestFit-0.3/venv/lib/python3.8/site-packages/yapftests/__pycache__/style_test.cpython-38.pyc,cpython-38,3413,False,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/piperider-cli/0.1.3.12/piperider_cli-0.1.3.12-py3-none-any.whl,wheel,piperider_cli/data/__pycache__/__init__.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/garpix-vacancy/1.0.0/garpix_vacancy-1.0.0.tar.gz,tar,garpix_vacancy-1.0.0/garpix_vacancy/admin/__pycache__/vacancy.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/ya-aioclient/0.6.4/ya-aioclient-0.6.4.tar.gz,tar,ya-aioclient-0.6.4/src/ya_activity/api/__pycache__/requestor_state_api.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/pytplot/1.7.28/pytplot-1.7.28.tar.gz,tar,pytplot-1.7.28/pytplot/QtPlotter/CustomAxis/__pycache__/AxisItem.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/pandas-ml-common/0.2.7/pandas-ml-common-0.2.7.tar.gz,tar,pandas-ml-common-0.2.7/pandas_ml_common/df_monkey_patch/__pycache__/df_values.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/foru/0.1.2/foru-0.1.2.tar.gz,tar,foru-0.1.2/foru/utils/__pycache__/aio.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/multiqc-vlad/1.30.dev20250821143134/multiqc_vlad-1.30.dev20250821143134.tar.gz,tar,multiqc_vlad-1.30.dev20250821143134/multiqc/modules/picard/__pycache__/OxoGMetrics.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/qsiprep-container/0.19.1/qsiprep_container-0.19.1-py3-none-any.whl,wheel,python3.8/site-packages/pip/_internal/cli/__pycache__/base_command.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/apache-superset-11680-1000/1.3.1/apache-superset-11680-1000-1.3.1.tar.gz,tar,apache-superset-11680-1000-1.3.1/superset/migrations/versions/__pycache__/190188938582_adding_unique_constraint_on_dashboard_slices_tbl.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
