artifact,package,version,artifact_type,source_less_pyc,total_pyc_in_artifact,source_less_pyc_pct_in_artifact,python_tags,top_level_paths,source_recoverable_pyc,source_recoverable_pct,dynamic_loading_indicator,dynamic_load_hits,keyword_categories,security_keyword_indicator
ttshare-0.1003.0.tar.gz,ttshare,0.1003.0,tar,35,35,100.00,cpython-310;cpython-311;cpython-312;cpython-313;cpython-314;cpython-38;cpython-39,ttshare-0.1003.0,35,100.00,True,3,security,yes
bpusdk-0.1.4-py3-none-any.whl,bpusdk,0.1.4,wheel,34,44,77.27,cpython-310,bpusdk,34,100.00,False,0,,no
EZFNSetupV2-0.1.0-py3-none-any.whl,ezfnsetupv2,0.1.0,wheel,34,34,100.00,cpython-38,EZFNSetupV2,34,100.00,False,0,network;security,yes
myffe-1.1.3.tar.gz,myffe,1.1.3,tar,34,34,100.00,cpython-313,myffe-1.1.3,34,100.00,True,1,,no
neuralecosystems-4.10.0-py3-none-any.whl,neuralecosystems,4.10.0,wheel,34,34,100.00,cpython-314,neural_os;neural_script;neural_script_pp;neural_auto;neural_cpu,34,100.00,False,0,data;security;testing,yes
isage_benchmark_agent-0.1.0.1.tar.gz,isage-benchmark-agent,0.1.0.1,tar,33,41,80.49,cpython-311,isage_benchmark_agent-0.1.0.1,33,100.00,False,0,cli;data,no
orgm-0.131.tar.gz,orgm,0.131,tar,33,169,19.53,cpython-313,orgm-0.131,33,100.00,False,0,cli;data;ml;network,no
agentverse-0.1.8.1-py3-none-any.whl,agentverse,0.1.8.1,wheel,32,32,100.00,cpython-38;cpython-39,agentverse,32,100.00,True,7,data,no
agentverse-0.1.8.1.tar.gz,agentverse,0.1.8.1,tar,32,32,100.00,cpython-38;cpython-39,agentverse-0.1.8.1,32,100.00,True,7,data,no
touch_android-0.1.0-py3-none-any.whl,touch-android,0.1.0,wheel,31,31,100.00,cpython-38,touch_android,31,100.00,False,0,data;network,no
uniqgift_custom-1.0.7-py3-none-any.whl,uniqgift-custom,1.0.7,wheel,31,1018,3.05,cpython-38,django_otp;two_factor;django,31,100.00,True,32,data;security,yes
isagellm_benchmark-0.5.4.14-py2.py3-none-any.whl,isagellm-benchmark,0.5.4.14,wheel,30,39,76.92,cpython-311,sagellm_benchmark,30,100.00,False,0,cli;data;ml;network,no
