input,input_type,files_total,py_files,pyc_files,pycache_dirs,source_less_pyc,has_bytecode,has_dynamic_loading,dynamic_load_hits,magic_numbers,pyc_versions,errors
data/artifacts/pypi/beatcraft/1.1.5/beatcraft-1.1.5.tar.gz,tar,38,23,0,0,0,False,False,0,,,
data/artifacts/pypi/albibong/1.1.10/albibong-1.1.10.tar.gz,tar,72,50,0,0,0,False,True,1,,,
data/artifacts/pypi/benchflow/0.4.0/benchflow-0.4.0-py3-none-any.whl,wheel,109,92,0,0,0,False,True,25,,,
data/artifacts/pypi/best-dev-utilllll/0.1.0/best_dev_utilllll-0.1.0.tar.gz,tar,18,6,0,0,0,False,False,0,,,
data/artifacts/pypi/bestllm/0.0.1/bestllm-0.0.1-py3-none-any.whl,wheel,10,4,0,0,0,False,False,0,,,
data/artifacts/pypi/bestllm/0.0.1/bestllm-0.0.1.tar.gz,tar,10,4,0,0,0,False,False,0,,,
data/artifacts/pypi/bgetlib/3.2.8/bgetlib-3.2.8-py3-none-any.whl,wheel,12,6,0,0,0,False,False,0,,,
data/artifacts/pypi/bgetlib/3.2.8/bgetlib-3.2.8.tar.gz,tar,11,7,0,0,0,False,False,0,,,
data/artifacts/pypi/bgm-net/0.1.1/bgm_net-0.1.1-py3-none-any.whl,wheel,7,3,0,0,0,False,False,0,,,
data/artifacts/pypi/bgm-net/0.1.1/bgm_net-0.1.1.tar.gz,tar,16,4,0,0,0,False,False,0,,,
data/artifacts/pypi/bin2png/2.1/bin2png-2.1-py3-none-any.whl,wheel,7,1,0,0,0,False,False,0,,,
data/artifacts/pypi/bin2png/2.1/bin2png-2.1.tar.gz,tar,14,2,0,0,0,False,False,0,,,
data/artifacts/pypi/binypt-cli/1.0.4/binypt_cli-1.0.4-py3-none-any.whl,wheel,8,2,0,0,0,False,False,0,,,
data/artifacts/pypi/binypt-cli/1.0.4/binypt_cli-1.0.4.tar.gz,tar,6,2,0,0,0,False,False,0,,,
data/artifacts/pypi/bitlurker-client/0.0.0/bitlurker-client-0.0.0.tar.gz,tar,13,2,0,0,0,False,False,0,,,
data/artifacts/pypi/blalacar/1.5/blalacar-1.5.tar.gz,tar,16,3,0,0,0,False,False,0,,,
data/artifacts/pypi/blq-cli/1.0.0/blq_cli-1.0.0-py3-none-any.whl,wheel,68,56,0,0,0,False,True,9,,,
data/artifacts/pypi/benchflow/0.4.0/benchflow-0.4.0.tar.gz,tar,220,175,0,0,0,False,True,37,,,
data/artifacts/pypi/blue-fusion/4.16.1/blue_fusion-4.16.1-py3-none-any.whl,wheel,32,12,0,0,0,False,False,0,,,
data/artifacts/pypi/blue-fusion/4.16.1/blue_fusion-4.16.1.tar.gz,tar,47,13,0,0,0,False,False,0,,,
data/artifacts/pypi/boto3-dataclass-keyspaces/1.40.0/boto3_dataclass_keyspaces-1.40.0-py3-none-any.whl,wheel,7,3,0,0,0,False,False,0,,,
