package,version,artifact,artifact_type,source_less_pyc,source_less_pyc_pct_in_artifact,python_tags,dynamic_loading_indicator,dynamic_load_hits,keyword_categories
bullpenfi,0.1.11,bullpenfi-0.1.11-py3-none-any.whl,wheel,4,50.00,cpython-311,False,0,security
bullpenfi,0.1.11,bullpenfi-0.1.11.tar.gz,tar,4,50.00,cpython-311,False,0,security
invcrypt,1.0.13,invcrypt-1.0.13-py3-none-any.whl,wheel,4,20.00,cpython-312,True,1,security
invcrypt,1.0.13,invcrypt-1.0.13.tar.gz,tar,4,20.00,cpython-312,True,1,security
wildcard-core,0.1.7,wildcard_core-0.1.7.tar.gz,tar,3,15.00,cpython-312,True,4,network;security
brady-django-template,0.1.4,brady-django-template-0.1.4.tar.gz,tar,2,16.67,cpython-311,False,0,security
brady-django-template,0.1.4,brady_django_template-0.1.4-py3-none-any.whl,wheel,2,16.67,cpython-311,False,0,security
drf-easily-saas,0.0.4,drf_easily_saas-0.0.4.tar.gz,tar,2,6.06,cpython-310,False,0,security
fastapi-authentication,0.1.1,fastapi_authentication-0.1.1.tar.gz,tar,2,40.00,cpython-312,False,0,security
fastapi-blocks-registry,0.2.16,fastapi_blocks_registry-0.2.16-py3-none-any.whl,wheel,2,2.74,cpython-312,True,1,security
fastapi-blocks-registry,0.2.16,fastapi_blocks_registry-0.2.16.tar.gz,tar,2,2.74,cpython-312,True,1,security
junior-ssl,0.5.0,junior_ssl-0.5.0-py3-none-any.whl,wheel,2,12.50,cpython-38,False,0,security
newrelic-synthetic-python-client,0.3.1,newrelic_synthetic_python_client-0.3.1.tar.gz,tar,2,16.67,cpython-38,False,0,network;security
restless-dj-utils,0.2b5,restless_dj_utils-0.2b5-py3-none-any.whl,wheel,2,3.70,cpython-38,False,0,security
restless-dj-utils,0.2b5,restless_dj_utils-0.2b5.tar.gz,tar,2,3.70,cpython-38,False,0,security
atabet-token,1.1.0,atabet_token-1.1.0-cp310-cp310-macosx_10_9_x86_64.whl,wheel,1,100.00,cpython-310,False,0,security
fastsecure,0.3.0,fastsecure-0.3.0-py3-none-any.whl,wheel,1,100.00,cpython-311,False,0,build;security;testing
fastsecure,0.3.0,fastsecure-0.3.0.tar.gz,tar,1,100.00,cpython-311,False,0,security;testing
nox-security,3.0.0,nox_security-3.0.0-py3-none-any.whl,wheel,1,100.00,cpython-312,True,1,security
pygen-modules,0.1.1,pygen_modules-0.1.1-py3-none-any.whl,wheel,1,8.33,cpython-311,True,6,security
pygen-modules,0.1.1,pygen_modules-0.1.1.tar.gz,tar,1,8.33,cpython-311,True,6,security
topiq-utils,0.1.8,topiq_utils-0.1.8-py3-none-any.whl,wheel,1,20.00,cpython-311,False,0,security
topiq-utils,0.1.8,topiq_utils-0.1.8.tar.gz,tar,1,20.00,cpython-311,False,0,security
