python_tag,finding,decompiler,stage,status,failure_class,reason,bytecode_status,decompile_stdout,decompile_stderr,source_path,compiled_pyc
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-43f52a9cb69f.pyc,decompylepp,rerun,exit_1,translation_failure,"data/rq4/source_candidates/cpython-310/cpython-310-43f52a9cb69f/decompylepp.py:14: SyntaxWarning: 'NoneType' object is not subscriptable; perhaps you missed a comma? yield from None[None](10) Traceback (most recent call last): File ""<str...",ok,,,data/rq4/source_candidates/cpython-310/cpython-310-43f52a9cb69f/decompylepp.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-47b91700571e.pyc,decompylepp,rerun,exit_1,translation_failure,"data/rq4/source_candidates/cpython-310/cpython-310-47b91700571e/decompylepp.py:11: SyntaxWarning: 'NoneType' object is not callable; perhaps you missed a comma? None(None, None, None) Traceback (most recent call last): File ""<string>"", l...",exit_1,,,data/rq4/source_candidates/cpython-310/cpython-310-47b91700571e/decompylepp.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-506aed50f6e6.pyc,decompylepp,rerun,exit_1,translation_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-506aed50f6e6/decompylepp.py"", line 7 return None // (lambda : self = __pybcsec_self__ = object()__pybcsec_s...",exit_1,,,data/rq4/source_candidates/cpython-310/cpython-310-506aed50f6e6/decompylepp.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-4049a6b9d887.pyc,decompylepp,decompile,exit_1,expected_rejection,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-4049a6b9d887.pyc: std::bad_cast,crash,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-5f84dccb33a7.pyc,decompylepp,decompile,exit_1,expected_rejection,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-5f84dccb33a7.pyc: vector::_M_range_check: __n (which is 114) >= this->size() (which is 1),ok,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-5c8dd81e480e.pyc,decompylepp,rerun,ok,translation_failure,behavior diverged from original bytecode,ok,,,data/rq4/source_candidates/cpython-310/cpython-310-5c8dd81e480e/decompylepp.py,data/rq4/source_candidates/cpython-310/cpython-310-5c8dd81e480e/decompylepp.pyc
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-680d864ff083.pyc,decompylepp,decompile,exit_1,expected_rejection,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-680d864ff083.pyc: vector::_M_range_check: __n (which is 254) >= this->size() (which is 2),ok,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-65d4b833f586.pyc,decompylepp,rerun,exit_1,translation_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-65d4b833f586/decompylepp.py"", line 14 (lambda .0: [ nonlocal_var = sentinel for _ in .0 ])(range(1)) ^^ Syn...",ok,,,data/rq4/source_candidates/cpython-310/cpython-310-65d4b833f586/decompylepp.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-4c5f3adafaa8.pyc,decompylepp,rerun,ok,translation_failure,behavior diverged from original bytecode,crash,,,data/rq4/source_candidates/cpython-310/cpython-310-4c5f3adafaa8/decompylepp.py,data/rq4/source_candidates/cpython-310/cpython-310-4c5f3adafaa8/decompylepp.pyc
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-568e1f5f77e9.pyc,decompylepp,rerun,exit_1,translation_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-568e1f5f77e9/decompylepp.py"", line 16 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function",crash,,,data/rq4/source_candidates/cpython-310/cpython-310-568e1f5f77e9/decompylepp.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-5dff98827dfd.pyc,decompylepp,decompile,exit_1,expected_rejection,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-5dff98827dfd.pyc: std::bad_cast,crash,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-6a7fd14d880e.pyc,decompylepp,decompile,exit_1,expected_rejection,Error loading file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-6a7fd14d880e.pyc: Invalid bytes in ASCII string,ok,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-6cdd9c217f1b.pyc,decompylepp,decompile,exit_1,expected_rejection,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-6cdd9c217f1b.pyc: vector::_M_range_check: __n (which is 14) >= this->size() (which is 4),ok,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-5d55816ed624.pyc,decompylepp,decompile,exit_1,expected_rejection,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-5d55816ed624.pyc: std::bad_cast,crash,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-6d41228373dc.pyc,decompylepp,decompile,exit_1,expected_rejection,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-6d41228373dc.pyc: vector::_M_range_check: __n (which is 95) >= this->size() (which is 2),ok,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-76cf17555470.pyc,decompylepp,decompile,exit_1,expected_rejection,Error loading file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-76cf17555470.pyc: Invalid bytes in ASCII string,ok,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-7009d80d6209.pyc,decompylepp,decompile,exit_1,expected_rejection,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-7009d80d6209.pyc: vector::_M_range_check: __n (which is 79) >= this->size() (which is 11),ok,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-6be792256da7.pyc,decompylepp,rerun,exit_1,translation_failure,"data/rq4/source_candidates/cpython-310/cpython-310-6be792256da7/decompylepp.py:10: SyntaxWarning: 'NoneType' object is not callable; perhaps you missed a comma? None(None, None, None) Traceback (most recent call last): File ""<string>"", l...",exit_1,,,data/rq4/source_candidates/cpython-310/cpython-310-6be792256da7/decompylepp.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-6381fd66a790.pyc,decompylepp,decompile,exit_1,expected_rejection,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-6381fd66a790.pyc: std::bad_cast,crash,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-779c73b13507.pyc,decompylepp,decompile,exit_1,expected_rejection,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-779c73b13507.pyc: vector::_M_range_check: __n (which is 99) >= this->size() (which is 10),ok,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-79753b54b14f.pyc,decompylepp,decompile,exit_1,expected_rejection,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-79753b54b14f.pyc: vector::_M_range_check: __n (which is 101) >= this->size() (which is 14),ok,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-686faa2200fc.pyc,decompylepp,decompile,exit_1,expected_rejection,Bad MAGIC! Could not load file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-686faa2200fc.pyc,crash,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-8320c023298e.pyc,decompylepp,decompile,exit_1,expected_rejection,Error loading file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-8320c023298e.pyc: Invalid bytes in ASCII string,ok,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-77c5cfd67f58.pyc,decompylepp,rerun,exit_1,translation_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-77c5cfd67f58/decompylepp.py"", line 11 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function",ok,,,data/rq4/source_candidates/cpython-310/cpython-310-77c5cfd67f58/decompylepp.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-788276e8dd39.pyc,decompylepp,rerun,exit_1,translation_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-788276e8dd39/decompylepp.py"", line 11 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function",ok,,,data/rq4/source_candidates/cpython-310/cpython-310-788276e8dd39/decompylepp.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-84eba60d583a.pyc,decompylepp,decompile,exit_1,expected_rejection,Bad MAGIC! Could not load file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-84eba60d583a.pyc,exit_1,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-874a41ac9924.pyc,decompylepp,decompile,exit_1,expected_rejection,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-874a41ac9924.pyc: vector::_M_range_check: __n (which is 53) >= this->size() (which is 18),ok,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-7c36e44e9194.pyc,decompylepp,rerun,exit_1,translation_failure,"data/rq4/source_candidates/cpython-310/cpython-310-7c36e44e9194/decompylepp.py:19: SyntaxWarning: 'tuple' object is not callable; perhaps you missed a comma? ()() Traceback (most recent call last): File ""<string>"", line 10, in <module> F...",ok,,,data/rq4/source_candidates/cpython-310/cpython-310-7c36e44e9194/decompylepp.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-89fe3eb04cd8.pyc,decompylepp,decompile,exit_1,expected_rejection,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-89fe3eb04cd8.pyc: vector::_M_range_check: __n (which is 108) >= this->size() (which is 7),ok,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-915da9f04592.pyc,decompylepp,decompile,exit_1,expected_rejection,Error loading file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-915da9f04592.pyc: Invalid bytes in ASCII string,exit_1,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-867daa1a12e5.pyc,decompylepp,rerun,exit_1,translation_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-867daa1a12e5/decompylepp.py"", line 8 C = dataclass(<NODE:12>) ^ SyntaxError: invalid syntax",ok,,,data/rq4/source_candidates/cpython-310/cpython-310-867daa1a12e5/decompylepp.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-8d2aa8aa9f9d.pyc,decompylepp,rerun,exit_1,translation_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-8d2aa8aa9f9d/decompylepp.py"", line 16 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function",ok,,,data/rq4/source_candidates/cpython-310/cpython-310-8d2aa8aa9f9d/decompylepp.py,
